mailingAddr1,totalActualVal
280 YELLOWFIELD WAY,266000
565 ORE CART WAY,285700
302 YELLOWFIELD WY,278400
2049 AMBER CT,261500
2063 AMBER CT,249000
2077 AMBER CT,297600
2091 AMBER CT,291700
2105 AMBER CT,358700
2119 AMBER CT,292000
2119 AMBER CT,292000
2118 AMBER CT,275400
PAUL WILLIAM VAN TOL,292500
2092 AMBER CT,271200
2078 AMBER CT,310800
2066 AMBER CT,303000
2052 AMBER CT,269200
346 MAPLEWOOD DR,269300
360 MAPLEWOOD DR,257800
376 MAPLEWOOD DR,278300
390 MAPLEWOOD DR,292900
406 MAPLEWOOD DR,263200
2130 WHEAT BERRY CT,335800
2112 WHEAT BERRY CT,249400
2096 WHEAT BERRY CT,294600
2078 WHEAT BERRY CT,256200
2060 WHEAT BERRY CT,273700
458 HARVEST POINT DR,258500
445 WHEAT BERRY DR,305400
431 WHEAT BERRY DR,269300
417 WHEAT BERRY DR,282600
403 WHEAT BERRY DR,300900
SILVIA CECELIA ROYBAL,281000
377 WHEAT BERRY DR,258500
363 WHEAT BERRY DR,278500
349 WHEAT BERRY DR,301100
335 WHEAT BERRY DR,284500
321 WHEAT BERRY DR,264600
ANDREA HAMMERSLEY,257900
340 HARVEST POINT DR,274900
356 HARVEST POINT DR,308900
370 HARVEST POINT DR,272300
386 HARVEST POINT DR,289600
402 HARVEST POINT DR,318000
418 HARVEST POINT DR,265700
434 HARVEST POINT DR,277600
434 HARVEST POINT DR,277600
466 WHEAT BERRY DR,245600
456 WHEAT BERRY DR,239700
446 WHEAT BERRY DR,247500
436 WHEATBERRY DR,277200
426 WHEAT BERRY DR,294300
416 WHEAT BERRY DR,262400
406 WHEATBERRY DR,269700
396 WHEATBERRY DR,314600
384 WHEAT BERRY DR,271300
374 WHEATBERRY DR,302500
364 WHEAT BERRY DR,256200
354 WHEAT BERRY DR,320000
344 WHEAT BERRY DR,258300
334 WHEAT BERRY DR,299300
324 WHEAT BERRY DR,264800
314 WHEAT BERRY DR,264100
645 HOLBROOK,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
5855 WADSWORTH BYP STE 100 BLDG B,0
5855 WADSWORTH BYP STE 100 BLDG B,0
5855 WADSWORTH BYP STE 100 BLDG B,0
5855 WADSWORTH BYP STE 100 BLDG B,0
270 CANON VIEW RD,539900
1530 TAMARACK AVE,616200
1540 TAMARACK AVE,572000
STATE CAPITOL BLG,3200
6534 RASTELIS RD,420
PO BOX 9019,1861900
PO BOX 454,9500
P O BOX 471,2200
3090 HEIDELBERG DR,244700
3065 30TH ST APT 3,141500
3103 29TH ST UNIT A-104,138900
120 MELTON AVE,244700
3103 29TH ST UNIT 205,303600
3103 29TH ST UNIT 206,303100
PO BOX 471,184600
1075 LINDEN AVE,1851900
P O BOX 471,1260000
1719 BROADWAY,13000
P O BOX 791,572900
6397 GLENMOOR RD,458200
1329 CEDAR AVE,1200
2635 MAPLETON AVE 53,30900
OPEN SPACE DEPT,820500
3959 ARBOL CT,127300
55 BUCKNELL CT,121500
5510 STONEWALL PL UNIT 13,143600
9765 QUAY LOOP,130200
5510 STONEWALL PL #15,130200
5510 STONEWALL PL UNIT 21,196900
415 OAKWOOD PL,190300
CMR 411 BOX 1918,190300
P O BOX 6274,151700
5510 STONEWALL PL UNIT 25,194500
5510 STONEWALL PL 31,186400
695 MANHATTAN DR #216,186400
5520 STONEWALL PL 11,134700
5520 STONEWALL PL UNIT 12,130200
2926 11TH ST,131600
77 HILLVIEW DR,187100
5520 STONEWALL PL UNIT 21,190300
1375 W 13TH AVE,190300
P O BOX 7135,199900
5070 LYDA LN,195800
5520 STONEWALL PL UNIT 32,186400
5530 STONEWALL PL APT 12,130200
5530 STONEWALL PL 13,105700
5530 STONEWALL PL UNIT 14,127300
5530 STONEWALL PL APT 6,131600
937 ROXWOOD LN APT 2,131600
5223 GOLF COURSE DR,186400
120 CHEROKEE WAY,190300
PO BOX 19087,186400
5530 STONEWALL PL UNIT 31,186400
5530 STONEWALL PL UNIT 32,186400
269 S SENECA BLVD,130200
5540 STONEWALL PL UNIT 13,127300
7342 WINDSOR DR,127300
11 CORTE DORADO,186400
PO BOX 11280,186400
1375 W 13TH AVE,190300
21660 SW 109TH TER,190300
2616  7TH ST,132900
816 W MOUNTAIN AVE,130200
5241 KIRKWALL LN,195800
5540 STONEWALL PL 32,186400
5550 STONEWALL PL UNIT 11,125600
6652 S HILL WY,125600
4325 KINGSBURY DR,125600
5550 STONEWALL PL #22,194200
5550 STONEWALL PLACE UNIT 23,198300
5550 STONEWALL PL UNIT 31,155600
5550 STONEWALL PL UNIT 32,211200
5550 STONEWALL PL 33,163300
5550 STONEWALL PL UNIT 34,201000
5550 STONEWALL PL 35,205200
P O BOX 471,266800
P O BOX 471,228500
P O BOX 471,600000
P O BOX 471,480000
1851 REDWOOD AVE,578100
6931 ROARING FORK TR,1098000
PO BOX 1107,1789300
PO BOX 471,447800
3112 BELL DR,221500
4784 FRANKLIN DR,382900
4788 FRANKLIN DR,340700
4786 FRANKLIN DR,343000
4782 FRANKLIN DR,342800
4778 FRANKLIN DR,363900
4776 FRANKLIN DR,342800
4744 FRANKLIN DR,343900
4742 FRANKLIN DR,360800
4740 FRANKLIN DR,335400
4736 FRANKLIN DR,335600
4734 FRANKLIN DR,338700
4730 FRANKLIN DR,361000
4730 FRANKLIN DR,361000
4738 FRANKLIN DR,336400
4750 FRANKLIN DR,374100
4746 FRANKLIN DR,336900
4748 FRANKLIN DR,364100
4756 FRANKLIN DR,344000
4758 FRANKLIN DR,331800
4764 FRANKLIN DR,359300
4766 FRANKLIN DR,372000
4774 FRANKLIN DR,367100
4772 FRANKLIN DR,336000
4832 PRIMROSE PATH,336600
4768 FRANKLIN DR,331000
4762 FRANKLIN DR,330200
4760 FRANKLIN DR,324700
4754 FRANKLIN DR,324800
4752 FRANKLIN DR,331700
3238 47TH ST,322200
3236 47TH ST,334800
3232 47TH ST,357900
3230 47TH ST,305000
3226 47TH ST,357800
9 MILL CT,365500
3218 47TH ST,340500
405 LARAMIE BLVD,360100
3210 47TH ST,360900
3206 47TH ST,348100
3202 47TH ST,302900
3400 PENNINGTON LN,305000
5660 BEAUMONT AVE,299000
3220 47TH ST,267200
3222 47TH ST,318000
BESERRA JO ANN VALI REVOC TRUS,331600
3234 47TH ST,294900
1938 PEARL ST #200,0
2222 PINE ST UNIT CA-B,224600
PO BOX 345,64700
3742 ARNOLD ST,1425000
8 COLERIDGE LN,3336600
4201 E ARKANSAS AVE 291,38400
508 PEAKVIEW RD,1241
4310 S OCEAN VIEW DR,71700
8297 OVERLAND RD,960
7940 VALMONT DR,811100
7930 VALMONT RD,878500
7920 VALMONT RD,1077100
3120 N BROADWAY,226000
PO BOX 491,7800
6694 DREW RANCH LN,416700
6688 DREW RANCH LN,150000
6682 DREW RANCH LN,436200
6678 DREW RANCH LN,382200
6678 DREW RANCH LN,382200
6674 DREW RANCH LN,362900
6666 DREW RANCH LN,395300
6662 DREW RANCH LN,443200
6654 DREW RANCH LN,150000
6654 DREW RANCH LN,398000
8639 CURTIS AVE,399000
6644 DREW RANCH LN,363100
6623 BEAN MOUNTAIN LN,450800
6627 BEAN MOUNTAIN LN,452900
6635 BEAN MOUNTAIN LN,386800
6639 BEAN MOUNTAIN LN,361400
6643 BEAN MOUNTAIN LN,361400
6647 BEAN MOUNTAIN LN,341300
6655 BEAN MOUNTAIN LN,372200
6659 BEAN MOUNTAIN LN,343900
5462 N FORK CT,372000
6675 BEAN MOUNTAIN LN,437500
6681 BEAN MOUNTAIN LN,357300
3050 BROADWAY STE 260,150000
3050 BROADWAY STE 260,0
6697 BEAN MOUNTAIN LN,343600
6696 BEAN MOUNTAIN DR,401900
6684 BEAR MOUNTAIN LN,384300
6672 BEAN MOUNTAIN LN,378400
6664 BEAN MOUNTAIN LN,387800
6652 BEAN MOUNTAIN LN,388000
6646 BEAN MOUNTAIN LN,435500
6653 DREW RANCH LN,338900
6665 DREW RANCH LN,366800
6675 DREW RANCH LN,385000
6685 DREW RANCH LANE,366300
6695 DREW RANCH LN,387500
PO BOX 17355,0
OF PARKS & OUTDOOR REC,100
6600 SOUTH BOULDER RD,1339600
6606 SOUTH BOULDER RD,953000
P O BOX 471,400000
6652 CAMPTON CIR,390100
P O BOX 471,500000
2000 IRIS AVE,768000
2000 IRIS AVE,768000
888 7TH ST,1670000
888 7TH ST,1670000
PO BOX 471,2000
4877 FOUNTAIN ST,651300
4887 FOUNTAIN ST,656500
4866 FOUNTAIN ST,656000
4870 FOUNTAIN ST,685400
4882 FOUNTAIN ST,673900
4867 DAKOTA BLVD,662800
4875 DAKOTA BLVD,625200
4883 DAKOTA BLVD,565000
4874 DAKOTA BV,502600
4878 DAKOTA BLVD,517000
4882 DAKOTA BLVD,479900
LARA MACKENZIE PENNY,571900
942 LYKINS AVE,501200
4881 10TH ST,546500
4875 10TH ST,498600
4877 10TH ST,508900
4879 10TH ST,488400
4879 10TH ST,488400
4872 10TH ST,453800
189 N VIRGINIA ST,420900
4882 10TH ST,405500
RENEE J BESHURES,443900
4888 10TH ST,480500
850 ORMAN DR,382000
1820 18TH ST,474400
3445 23RD ST,535700
3440 23RD ST,388200
MEGAN MORRISON WAMBERG,607700
3485 23RD ST,634500
3823 BIRCHWOOD DR,1485100
3823 BIRCHWOOD DR,1433783
PO BOX 471,39300
7001 HARVEST RD,472500
7464 SINGING HILLS CT,124600
LINDGREN FAMILY TRUST,130400
7468 SINGING HILLS CT UNIT A-105,158800
7450 SINGING HILLS CT,164500
779 BERKSHIRE PL,107000
7474 SINGING HILLS CT  APT A201,122600
7476 SINGING HILLS CT UNIT A103,131400
7478 SINGING HILLS CT,133400
295 BROKEN FENCE RD,158800
295 BROKEN FENCE RD,158800
7482 SINGING HILLS CT,175400
7430 SINGING HILLS CT UNIT B1,112700
7432 SINGING HILLS CT UNIT B206,122600
1127 SOUTH MOUNTAIN VIEW RD,124600
NOSICKA 12,173300
7438 SINGING HILLS CT UNIT B1,160100
7440 SINGING HILLS CT #B,173200
7442 SINGING HILLS CT,106700
467 WELLESLEY ST,122900
7446 SINGING HILLS CT UNIT B1,128700
7448 SINGING HILLS CT UNIT B1,179500
7450 SINGING HILLS CT B1,158300
2823 SAINT ANNES DR,176300
7412 SINGING HILLS CT UNIT C201,121900
7414 SINGING HILLS CT UNIT C-103,130700
7416 SINGING HILLS CT,166300
7418 SINGING HILLS CT,157900
7420 SINGING HILLS CT UNIT C202,163200
7427 SINGING HILLS DR UNIT D-204,153400
PO BOX 7037,155500
7431 SINGING HILLS DR D7431,140600
7433 SINGING HILLS DR,150500
7435 SINGING HILLS CT UNIT D102,155600
7437 SINGING HILLS DR,153400
98 ROCKTOWN LAMBERTVILLE RD,153400
7441 SINGING HILLS DR UNIT D201,158900
7443 SINGING HILLS DR UNIT 207,154200
6148 S IOLA WAY,153400
7457 SINGING HILLS DR,152300
7459 SINGING HILLS DR,164000
7459 SINGING HILLS DR,164000
2384 SINGING HILLS DR,154200
7463 SINGING HILLS DR,140600
1259 HARRISON COURT,150500
7348 ISLAND GREEN DR,155600
1249 ST JOHN ST,153400
154 INGLEOAK LN,155600
7473 SINGING HILLS DR,158400
7475 SINGING HILLS DR,154200
7477 SINGING HILLS DR UNIT F,153400
7348 ISLAND GREEN DR,154700
7481 SINGING HILLS DR,155600
10129 FALCON ST,153400
7487 SINGING HILLS DR,145200
2400 28TH ST,149200
5457 JAY RD,155600
7493 SINGING HILLS DR,153400
7495 SINGING HILLS DR,155600
1300 ORANGE RD,153400
7499 SINGING HILLS DR,154200
3050 5TH ST,155600
7476 SINGING HILLS DR,155600
7478 SINGING HILLS DR,158300
6684 BEAN MOUNTAIN LN,155500
5528 HIGH COUNTRY CT,149200
3395 25TH ST,154000
7486 SINGING HILLS DR UNIT G,153400
7488 SINGING HILLS DR,144600
5107 GALLATIN PL,153400
7492 SINGING HILLS DR,154700
7494 SINGING HILLS DR,154200
7448 SINGING HILLS DR UNIT H,154400
5834 MIDDAUGH AV,155600
13057 WEST ILIFF DR,153400
6811 CHERRY TREE CT,154200
7458 SINGING HILLS DR # H,149200
7460 SINGING HILLS DR UNIT H,140600
7462 SINGING HILLS DR H,155600
7464 SINGING HILLS DR,158900
7466 SINGING HILLS DR H105,155600
7468 SINGING HILLS DR UNIT H,153400
26465 E WALKER DR,154200
7424 SINGING HILLS DR,155600
3945 SAVANNAH CT,154700
7428 SINGING HILLS DR,155600
7430 SINGING HILLS DR J-204,153400
7432 SINGING HILLS DR J206,154200
7434 SINGING HILLS DR UNIT J,140600
IM AUEL 12,149200
7438 SINGING HILLS DR,154100
7440 SINGING HILLS DR,153400
4963 SUNDANCE SQ,155600
7848 FOUR MILE CANYON DR,153400
3012 STERLING CIR STE 120,160600
7402 SINGING HILLS DR UNIT K205,154700
7404 SINGING HILLS DR UNIT K,155600
7348 ISLAND GREEN DR,153400
PMB 262,154200
7412 SINGING HILLS DR #203,149200
3945 SAVANNAH CT,153400
7416 SINGING HILLS DR,154700
1030 N STAGE COACH,155600
2823 ST ANNES DR,153400
7422 SINGING HILLS DR,154200
7463 SPY GLASS CT,153400
1030 N STAGECOACH LN,153400
2636 GRAPEWOOD LN,155600
7469 SPYGLASS CT,153400
7471 SPY GLASS CT,158700
2325 NE 103RD ST,149200
2400 28TH ST,140600
7477 SPY GLASS CT,155600
7479 SPYGLASS CT UNIT L204,155600
7292 SIENA WAY,155600
PO BOX 40783,153400
7443 SPYGLASS CT,153400
7445 SPYGLASS CT UNIT M201,153400
7447 SPY GLASS CT M102,153400
7449 SPY GLASS CT UNIT M202,153400
4545 CARTER TR,153400
7405 SPY GLASS CT UNIT N-201,154700
2892 SHADOW CREEK DR APT 103,153400
"200 JAMES ST., # 104",154700
7415 SPY GLASS CT #N,154100
7419 SPY GLASS CT,149200
3958 PROMONTORY CT,150500
7427 SPY GLASS CT N104,155600
7429 SPY GLASS CT,153400
7433 SPYGLASS CT,153400
7411 SINGING HILLS CT,166300
7235 W 64TH PL,153400
4935 TWIN LAKES RD UNIT 36,153400
4945 SUNDANCE ST,153400
3267 NOBLE CT,155500
7425 SINGING HILLS CT,140600
4638 JAMESTON ST,155600
7354 WINDSOR DR,153400
7431 SINGING HILLS CT,155600
4732 SANCTUARY TRL,153400
8110 KINCROSS DR,154200
7441 SINGING HILLS CT Q101,153400
912 LINCOLN PL,153400
4399 PARK CT,153400
912 LINCOLN PL,153400
49 GARDINERS LN,154200
3866 EAST 133RD CT,256000
1038 CHERRYVALE RD,256000
2850 E AURORA AVE UNIT 104,256000
2850 AURORA AVE 105,256000
PO BOX 65,139400
2850 E AURORA AV 107,249200
5427 BLACKHAWK RD,249200
1015 PRIORY PL,249200
7452 E BATES DR,249200
2850 EAST AURORA AVE #111,249200
PO BOX 65,139400
174 TIMBER LN,261300
61 ST ANDREWS CIR,261300
2850 E AURORA AVE UNIT 203,261300
6229 S IOLA WAY,261300
340 ONEIDA ST,261300
5206 CORALBERRY CT,249200
4340 SAGE CT,249200
2850 E AURORA AVE UNIT 209,254400
2850 E AURORA AVE UNIT 209,254400
271 SHEKEL LN,254400
PO BOX 108,254400
PO BOX 17113,142300
PO BOX 986,268900
6400 S JAMAICA CIR,261700
PO BOX 65,261700
1417 S MAIN ST,261700
6229 S IOLA WAY,268900
1417 S MAIN ST,142500
174 TIMBER LN,331700
2850 E AURORA AVE UNIT 308,303100
5340 CENTENNIAL TR,254700
GARRY & STEVEN GORDON,254700
431 N CEDAR BROOK RD,142500
P O BOX 2170,186200
P O BOX 2170,186200
PMB 339,245200
4161 PINON DR,224000
175 PAWNEE DR,224000
514 SAGE CIR,180200
1515 BRANDT CT,180200
4410 LAGUNA PL UNIT I,221500
JACOVO G LOVATO,234200
P O BOX 2170,185300
P O BOX 2170,185300
4390 LAGUNA PL UNIT M,234200
2275 CHESTNUT CIR,371500
PO BOX 288,11100
4350 S MONACO ST STE 300,3200
PO BOX 791,500
2244 KINCAID PL,0
906 9TH ST,543300
825 S BROADWAY STE 200,1978600
728 UNIVERSITY AVE,553000
10 CHURCHILL DR,2804
1515 FRENCH CT,294200
332 WINTHROP DR,62600
792 TOM COBB DR,280000
8524 VALMONT RD,1050800
8524 VALMONT RD,1050800
8524 VALMONT RD,1341
8524 VALMONT RD,1341
792 TOM COBB DR,40800
PO BOX 471,599200
PO BOX 471,210500
84 RISSE CT,237500
90 RISSE CT,239100
98 RISSE CT,254600
77 RISSE CT,240300
91 RISSE CT,273300
103 RISSE CT,264100
1911 TYNAN DR,321800
1891 TYNAN DR,290500
1873 TYNAN DR,331200
1853 TYNAN DR,279900
ANN W SUDDARD,301900
142 BAXTER FARM LN,321600
1795 TYNAN DR,299200
19211 15TH AVE NW APT 4,293300
1757 TYNAN DR,264000
1739 TYNAN DR,308900
1719 TYNAN DR,266500
DEBORAH JEAN,272600
190 SUMMERFIELD CT,306200
180 SUMMERFIELD CT,303700
168 SUMMERFIELD CT,316800
158 SUMMERFIELD CT,252700
148 SUMMERFIELD CT,262000
147 SUMMERFIELD CT,252500
147 SUMMERFIELD CT,252500
147 SUMMERFIELD CT,252500
159 SUMMERFIELD CT,276600
171 SUMMERFIELD CT,254200
183 SUMMERFIELD CT,248600
195 SUMMERFIELD CT,255000
174 KOLAR CT,268100
164 KOLAR CT,250300
154 KOLAR CT,289000
144 KOLAR CT,303600
134 KOLAR CT,294800
122 KOLAR CT,275000
112 KOLAR CT,277200
102 KOLAR CT,282300
92 KOLAR CT,282000
82 KOLAR CT,301400
85 KOLAR CT,305700
95 KOLAR CT,324200
103 KOLAR CT,299700
113 KOLAR CT,257200
113 KOLAR CT,257200
123 KOLAR CT,332700
132 KOLAR CT,297600
141 KOLAR CT,253400
151 KOLAR CT,271300
159 KOLAR CT,261200
169 KOLAR CT,270500
1571 STANLEY DR,292500
1553 STANLEY DRIVE,300100
1535 STANLEY DR,292900
1517 STANLEY DR,298600
APRIL MARTINEZ,294800
144 WIGGETT CT,302300
154 WIGGETT CT,293400
162 WIGGETT CT,267600
162 WIGGETT CT,267600
162 WIGGETT CT,267600
162 WIGGETT CT,267600
170 WIGGETT CT,289900
167 WIGGETT CT,266600
159 WIGGETT CT,258400
151 WIGGETT CT,263400
143 WIGGETT CT,320700
135 WIGGETT CT,263600
127 WIGGETT CT,310900
127 WIGGETT CT,310900
1898 WILSON CR,307400
1894 WILSON CIR,240900
1888 WILSON CIR,264200
1884 WILSON CR,244800
1878 WILSON CR,253400
1935 HAMRON CT,283700
1947 HAMRON CT,257900
1959 HAMRON CT,284100
1969 HAMRON CT,268100
1980 HAMRON CT,253500
1970 HAMRON CT,267700
3138 E 94TH LN,307400
3130 STEVENS CIR N,290000
1936 HAMRON CT,313900
1929 SEIDLER CT,250700
1943 SEIDLER CT,259800
7444 EMPIRE DR,280200
1969 SEIDLER CT,260800
1981 SEIDLER CT,318000
1982 SEIDLER CT,270400
1972 SEIDLER CT,239400
1960 SEIDLER CT,260700
1950 SEIDLER CT,253600
1940 SEIDLER CT,238800
1928 SEIDLER CT,279700
1918 WILSON CR,311000
1854 WILSON CIR,245700
1848 WILSON CR,247600
1844 WILSON CR,239200
5561 SAGEWOOD DR,239000
1834 WILSON CT,240900
1828 WILSON CIR,276800
1824 WILSON CR,250200
1818 WILSON CR,238900
1814 WILSON CIR,275700
1808 WILSON CIR,240900
1804 WILSON CIR,248000
1804 WILSON CIR,248000
1782 WILSON CIR,250600
1776 PHILLIPS CT,278800
RUTH B NEWBERGER,299700
1762 PHILLIPS CT,239200
1754 PHILLIPS CT,239300
1748 PHILLIPS CT,274400
1740 PHILLIPS CT,242000
1741 PHILLIPS CT,292500
1749 PHILLIPS CT,312500
GEORGE HARRACH,275200
1767 PHILLIPS CT,326600
1764 DRINKWATER CT,261700
1756 DRINKWATER CT,290000
1748 DRINKWATER CT,288800
1740 DRINKWATER CT,325400
1739 DRINKWATER CT,267900
1747 DRINKWATER CT,314800
1755 DRINKWATER CT,282600
1780 WILSON CIR,248200
1778 WILSON CIR,239300
1774 WILSON CR,242400
1893 WILSON CR,277000
1889 WILSON CR,308100
1885 WILSON CIR,261700
1879 WILSON CR,291300
1875 WILSON CIR,273400
1871 WILSON CIR,294700
1867 WILSON CR,266800
1861 WILSON CIR,293000
1861 WILSON CIR,293000
1857 WILSON CR,292800
1849 WILSON CIR,268700
1843 WILSON CIR,250500
1839 WILSON CR,267900
1835 WILSON CIR,233500
1831 WILSON CR,246100
1825 WILSON CR,234700
1821 WILSON CR,244500
1817 WILSON CIR,312300
1813 WILSON CR,261400
1807 WILSON CIR,253100
1803 WILSON CR,295300
1799 WILSON CIR,264600
3081 APACHE CIR,275300
1789 WILSON CIR,251300
1785 WILSON CT,254700
187 MCDONALD CT,250200
195 MCDONALD CT,244500
201 MCDONALD CT,288300
209 MCDONALD CT,252700
217 MCDONLAD CT,290300
223 MCDONALD CT,252800
231 MCDONALD CT,277400
228 MCDONALD CT,253500
197 MEADOW VIEW PKWY,310300
212 MCDONALD CT,271000
202 MCDONALD CT,252800
194 MCDONALD CT,286400
186 MCDONALD CT,253500
1700 STANLEY DR,244300
1684 STANLEY DR,279000
1666 STANLEY DR,245900
1650 STANLEY DR,248300
1634 STANLEY DR,270100
1618 STANLEY DR,272400
1593 PALMER LANE,261500
1603 PALMER LN,299000
1615 PALMER LN,266900
1625 PALMER LN,288100
1637 PALMER LN,279300
1647 PALMER LN,257300
1657 PALMER LANE,266500
1669 PALMER LN,272500
1679 PALMER LN,248000
1691 PALMER LN,266300
1701 PALMER LN,280500
VINITA UNNY,282200
1690 PALMER LANE,282700
1680 PALMER LANE,281700
1670 PALMER LN,248400
1662 PALMER LN,266100
1652 PALMER LN,257400
1642 PALMER LN,308000
1632 PALMER LN,272500
1600 PALMER LN,284100
1594 PALMER LN,301300
1584 STANLEY DR,302500
1568 STANLEY DR,269700
1552 STANLEY DR,266300
1534 STANLEY DR,283600
1518 SANLEY DR,292600
1553 WINSLOW CT,327200
1535 WINSLOW CT,286700
1535 WINSLOW CT,286700
1535 WINSLOW CT,286700
1517 WINSLOW CT,248900
1518 WINSLOW CT,296700
1518 WINSLOW CT,296700
1532 WINSLOW CT,284600
1546 WINSLOW CT,253600
1560 WINSLOW CT,286200
1604 PALMER LN,306200
1605 FRENCH CT,270300
1593 FRENCH CT,288100
1579 FRENCH CT,309000
1567 FRENCH CT,268500
1553 FRENCH CT,293300
1541 FRENCH CT,283800
1527 FRENCH CT,267100
PO BOX 750,10000
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
PO BOX 750,0
2674 PUESTA DEL SOL,329300
281 S OGDEN ST,295000
515 ADAMS ST,320300
1777 BROADWAY,3267000
1777 BROADWAY,165500
5948 E COLBY RD,331800
P O BOX 471,51000
2825 JAY RD,235800
PO BOX 179,24800
PO BOX 471,144000
10230 WEST CENTER AVE,3722
2300 75TH STREET,4122617
3077 29TH ST UNIT 101,244700
2373 ALBION ST,244700
1719 S AVENUE D,253200
23 COMSTOCK QUEEN CT,244700
3273 ELK VIEW DR,243600
3077 29TH ST UNIT 106,256700
2330 DENNISON LN,297300
3077 29TH ST @08,308800
5038 S 45TH AVE,282200
3850 BIRCHWOOD DR,308800
3077 29TH ST UNIT 212,312300
3675 CLOVERLEAF DR,464338
1851 REDWOOD AVE,582100
PO BOX 471,80000
1551 NORWOOD AVE,609100
1595 POPLAR AVE,857700
1319 CEDAR AV,858100
13530 W 63RD WAY,200
13530 W 63RD WAY,200
P O BOX 471,121700
P O BOX 471,91900
P O BOX 471,3500
P O BOX 471,3500
P O BOX 471,3500
1101 ARAPAHOE AVE,290100
P O BOX 471,537700
1200 17TH ST STE 990,2000000
906 ARKANSAS MOUNTAIN RD,853500
1579 REDWOOD AVE,1082000
P O BOX 471,107800
3505 NEBO RD,13100
3505 NEBO RD,13100
PO BOX 471,3200
P O BOX 471,400000
1602 GROVE ST,472300
1093 POPLAR AVE,176200
1089 POPLAR AVE,131200
1081 POPLAR AVE,144000
1075 POPLAR AVE,144000
1069 POPLAR AVE,152100
1063 POPLAR AVE,100800
1057 POPLAR AVE,144000
1051 POPLAR AVE,131200
1043 POPLAR AVE,120000
1037 POPLAR,131200
1025 POPLAR AVE,136100
1019 POPLAR AVE,103900
1011 POPLAR AVE,144000
1005 POPLAR AVE,88100
3075 FESTIVAL WAY,100
PO BOX 847,4776600
1209 ROCK LAKE RD,45200
2805 PEARL ST,748500
PO BOX 471,240000
325 BIC DRIVE,
5534 INDEPENDENCE RD,12300
3330 AIRPORT RD,391200
3760 N 57TH ST,331300
435 E 16TH ST,400000
814 17TH ST,582500
P O BOX 471,158200
PO BOX 471,275600
PO BOX 471,233300
BUREAU OF LAND MGMT NE RES,114800
2118 14TH ST,762500
2118 14TH ST,762500
6717 SOUTH BOULDER RD,1431800
6757 WHALEY DR,453500
PO BOX 791,630000
PO BOX 148,14400
PO BOX 791,491900
PO BOX 791,5200
1221 LEFTHAND CANYON DR,90800
1221 LEFTHAND CANYON DR,57600
1875 DEER VALLEY RD,370000
6390 BASELINE RD,100
20 S BOULDER CIR  APT#2201,178000
20 SOUTH BOULDER CIR,184000
PO BOX 20456,125700
6968 S BOULDER RD,130000
3756 26TH ST,192300
PO BOX 20456,125700
20 SOUTH BOULDER CIR APT 2203,130000
2069 CRIST DR,192300
20 S BOULDER CIR # 2104,135000
PO BOX 20456,130000
20 SOUTH BOULDER CIR UNIT 2304,192300
20 SOUTH BOULDER CIR UNIT 2105,125700
20 S BOULDER CIR APT 2106,125700
20 SO BOULDER CIR UNIT 2306,192300
808 MARVEN CT,169300
PO BOX 2007,183500
4884 IDYLWILD TR,183900
350 PONCA PL APT 461,175100
2605 CARRIAGE CT,194800
6514 IMPERIAL WOODS ROD,125700
3050 GALENA WAY,130000
20 SOUTH BOULDER CIR UNIT 2309,203700
PO BOX 17902,125700
20 SOUTH BOULDER CIR #2210,130000
20 SOUTH BOULDER CIR UNIT A-2111,125700
20 S BOULDER CIR UNIT 2211,130000
DAVID J & KAY LHIBL TRUSTEES,203700
12609 ZUNI ST #106,125700
PO BOX 2077,130000
912 LINCOLN PL,203700
20 S BOULDER CR APT 2113,125700
20 SOUTH BOULDER CIR UNIT 2213,130000
20 SOUTH BOULDER CIR UNIT 2213,130000
PO BOX 2092,203700
6514 IMPERIAL WOODS RD,169900
PO BOX 4476,190000
20 S BOULDER CIR APT 2314,195500
30 SOUTH BOULDER CIR UNIT 3011,125700
1443 ROCKMONT CIR,203700
30 S BOULDER CR 3012,125700
5496 SENECA PL,203700
30 SOUTH BOIULDER CIR UNIT 3013,125700
214 ARROYO CHICO,130000
2142 PARK LAKE DR,203700
30 SOUTH BOULDER CIR 3014,125700
46 KENNEDY PKWY,130000
3691 S QUEBEC ST,203700
30 SOUTH BOULDER CIR UNIT 3015,125700
30 SOUTH BOULDER CIR UNIT 3015,125700
30 S BOULDER CIR APT 3025,130000
174 TIMBER LN,192300
2926 11TH ST,125700
30 SOUTH BOULDER CR #3026,130000
1200 WILDWOOD RD,192300
3648 LARKWOOD CT,125700
30 SOUTH BOULDER CIR,130000
1200 WILDWOOD RD,192300
PO BOX 20456,125700
35 MOUNTAIN PINE DR,197400
3075 B ARAPAHOE AVE,169300
40 SOUTH BOULDER CIR UNIT 4021,175100
2850 VASSAR DR,183900
40 SOUTH BOULDER CIR 4012,169300
40 SOUTH BOULDER CIR UNIT 4022,175100
40 SOUTH BOULDER CIR UNIT 4032,183900
